Name,Description,Location
Musaigen no Phantom World,"Phantoms: supernatural entities such as ghosts or youkai that, until recently, were thought to be superstition. However, when a virus that infects the brain spreads throughout society, people's perception of the world changes as the mythical beings are revealed to have been living alongside humanity the entire time. This virus has also affected those of the next generation significantly, allowing them to develop special abilities that they can use to fight against dangerous phantoms.

Haruhiko Ichijou and Mai Kawakami are two of those that were granted such power as Haruhiko wields the ability to summon and seal phantoms through drawings while Mai imbues the power of the elements into martial arts. Together, along with the friendly phantom Ruru, they form Team E of Hosea Academy which is dedicated to dealing with these often mischievous beings. In a world where the real and surreal intertwine, Musaigen no Phantom World follows the adventures of a group of friends as they handle the everyday troubles caused by phantoms.",Kanon
Nanatsu no Taizai,"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones.

Based on the best-selling manga series of the same name, Nanatsu no Taizai follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world.",Kanon
Netoge no Yome wa Onnanoko ja Nai to Omotta,"After mustering up the courage to propose to a girl in an online game, naïve otaku Hideki ""Rusian"" Nishimura is devastated when she flat out rejects him. To make matters worse, the girl reveals that she is actually an older man in real life. With his dreams crushed and his heart broken, Rusian comes to an abrupt decision in the midst of his raging fit: he will never trust another girl in an online game again.

Years later, Rusian is now in a guild with three other players, one of whom possesses a female avatar by the name of ""Ako."" Ako is deeply in love with Rusian and wants to marry him. Although he entertains the possibility that she might be a guy, Rusian accepts her proposal, claiming that her gender doesn't matter as long as she is cute in the game. However, after a discussion between guild members that led to all of them having an offline meeting, Rusian finds out that Ako, along with the other members, are not just girls, but also his schoolmates.
",Kanon
Nijiiro Days,,Kanon
Nisekoi,,Kanon
No Game No Life,,Kanon
Ojisan to Marsmallow,,Kanon
Okusama ga Seitokaichou!,,Kanon
One-Punch Man,,Kanon
Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,,Kanon
Onsen Yousei Hakone-chan,,Kanon
Ooyasan wa Shishunki!,,Kanon
Orange,,Kanon
Ore Monogatari!!,,Kanon
OverLord,,Kanon
Paranoia Agent,,Kanon
Parasyte - the maxim,,Kanon
Patema Inverted,,Kanon
Planetarian,,Kanon
Rail Wars!,,Kanon
Rakudai Kishi no Cavalry,,Kanon
Re Zero,,Kanon
Renai Bokun,,Kanon
Rokka no Yuusha,,Kanon
Rokudenashi Majutsu Koushi to Akashic Records,,Kanon
Rokujouma no Shinryakusha,,Kanon
Rolling Girls,,Kanon
Saijaku Muhai no Bahamut,,Kanon
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga",,Kanon
Sakamoto desu ga,,Kanon
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,,Kanon
Samurai 7,,Kanon
Sankarea,,Kanon
Sansha Sanyou,,Kanon
Sasami-san@Ganbaranai,,Kanon
Scrapped Princess,,Kanon
Seikaisuru Kado,,Kanon
Seiken Tsukai no World Break,,Kanon
Seirei Tsukai no Blade Dance,,Kanon
Sekai Seifuku - Bouryaku no Zvezda,,Kanon
Sekirei Season,,Kanon
She and Her Cat - Everything Flows,,Kanon
Shigofumi,,Kanon
Shimoneta,,Kanon
Shinigami no Ballad,,Kanon
Shinmai Maou no Testament,,Kanon
Shomin Sample,,Kanon
Shuumatsu Nani Shitemasuka Isogashii Desuka Sukutte Moratte Ii Desuka,,Kanon
Sora No Otoshimono,,Kanon
Soredemo Sekai wa Utsukushii,,Kanon
Speed Grapher,,Kanon
Stella Jogakuin Koutouka C3,,Kanon
Subete ga F ni Naru,,Kanon
Sword Art Online,,Kanon
Tabi Machi Late Show,,Kanon
Taifuu no Noruda,,Kanon
Taimadou Gakuen 35 Shiken Shoutai,,Kanon
Tales of Zestiria the X,,Kanon
Tanaka-kun wa Itsumo Kedaruge,,Kanon
Tasogare Otome x Amnesia,,Kanon
Terror in Resonance,,Kanon
Texhnolyze,,Kanon
The Girl Who Leapt Through Time,,Kanon
The Pilot's Love Song,,Kanon
The.Tatami.Galaxy,,Kanon
The Empire of Corpses,,Kanon
The Princess and the Pilot,,Kanon
To Love Ru,,Kanon
To LOVE-Ru Darkness,,Kanon
Tokyo ESP,,Kanon
Tokyo Ravens,,Kanon
Tokyo Marble Chocolate,,Kanon
Tonari no Seki-kun,,Kanon
Tonari no Kaibutsu-kun,,Kanon
Tsugumomo,,Kanon
Tsuki ga kirei,,Kanon
Tsuritama,,Kanon
Udon no Kuni no Kiniro Kemari,,Kanon
Ushio no Tora,,Kanon
Valvrave the Liberator,,Kanon
Vandread,,Kanon
Wakaba Girl,,Kanon
White Album,,Kanon
Witch Craft Works,,Kanon
WITCH HUNTER ROBIN,,Kanon
Working!!!,,Kanon
Young Black Jack,,Kanon
Yukikaze,,Kanon
Zero kara Hajimeru Mahou no Sho,,Kanon
Zetsuen no Tempest,,Kanon
A letter to Momo,,Kanon
Genius Party Beyond,,Kanon
Ai Yori Aoshi,,Kanon
Hand Shakers,,Kanon
Koitabi - True Tours Nanto,,Kanon
Kuromukuro,,Kanon
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo,,Kanon
Sousei no Onmyouji,,Kanon
Mayo Chiki!,,Kanon
Gunslinger Girl,,Kanon
Ao Haru Ride,,Kanon
Little Witch Academia,,Kanon
Juuou Mujin no Fafnir,,Kanon
Kyoukai Senjou no Horizon,,Kanon
Maji de Watashi ni Koi Shinasai,,Kanon
Oda Nobuna no Yabou,,Kanon
Yojouhan Shinwa Taikei,,Kanon
Hundred,,Kanon
Upotte!!,,Kanon
IS Infinite Stratos,,Kanon
Madan no Ou to Vanadis,,Kanon
Otome Youkai Zakuro,,Kanon
Karas,,Ionassal
Chihayafuru S1,,Ionassal
Absolute Duo,,Ionassal
Acchi Kocchi,,Ionassal
Aiura,,Ionassal
Amagami SS,,Ionassal
Amagami SS Plus,,Ionassal
Ane Log,,Ionassal
Angel Beats!,,Ionassal
Angel Tales,,Ionassal
Ano Hana,,Ionassal
Arpeggio of Blue Steel - Ars Nova,,Ionassal
Asobi ni Ikuyo,,Ionassal
Atelier Escha & Logy - Alchemists of the Dusk Sky,,Ionassal
Azumanga Daioh,,Ionassal
Barakamon,,Ionassal
Bikini Warriors,,Ionassal
Binbougami ga!,,Ionassal
Bokura wa Minna Kawaisou,,Ionassal
Bokusatsu Tenshi Dokuro-chan,,Ionassal
Bungaku Shoujo - Memoire,,Ionassal
Cardcaptor Sakura,,Ionassal
Carnival Phantasm,,Ionassal
Chihayafuru S2,,Ionassal
Clannad,,Ionassal
Clannad ~After_Story~,,Ionassal
Code Geass - Lelouch of the Rebellion,,Ionassal
Code Geass - Lelouch of the Rebellion R2,,Ionassal
Cooking Master Boy,,Ionassal
Cowboy Bebop - Knockin' on Heaven's Door,,Ionassal
Da Capo III,,Ionassal
Danmachi,,Ionassal
Danna ga Nani o Itteiru ka Wakaranai Ken,,Ionassal
Danna ga Nani o Itteiru ka Wakaranai Ken 2 Sure-me,,Ionassal
Danshi Koukousei no Nichijou,,Ionassal
Darker_than_Black,,Ionassal
Darker_than_Black_-_Ryuusei_no_Gemini,,Ionassal
Date a Live,,Ionassal
DATE A LIVE II,,Ionassal
DearS,,Ionassal
Demi-chan wa Kataritai,,Ionassal
Denpa Onna to Seishun Otoko,,Ionassal
Detroit Metal City,,Ionassal
D-Frag!,,Ionassal
Digimon Adventure,,Ionassal
Digimon Adventure 02,,Ionassal
Digimon Frontier,,Ionassal
Digimon Savers,,Ionassal
Digimon Tamers,,Ionassal
Digimon Xros Wars,,Ionassal
.hack??Quantum,,Ionassal
.hack??G.U. Returner,,Ionassal
.hack??Sekai no Mukou ni,,Ionassal
.hack??Versus_-_The_Thanatos_Report,,Ionassal
Dot Hack Sign,,Ionassal
Durarara!,,Ionassal
Eden of the East,,Ionassal
ef_-_a_tale_of_melodies_,,Ionassal
ef_a_tale_of_memories,,Ionassal
El Cazador de la Bruja,,Ionassal
Elfen Lied,,Ionassal
Ergo Proxy,,Ionassal
Evangelion 1.11 You Are (Not) Alone,,Ionassal
Evangelion 2.22 You Can (Not) Advance,,Ionassal
Evangelion 3.33 You can [NOT] Redo,,Ionassal
Expelled from Paradise,,Ionassal
Fate Kaleid Liner PRISMA ILLYA 3rei!!,,Ionassal
Fate Kaleid Liner Prisma Illya OVA,,Ionassal
Fate Kaleid Liner Prisma Ilya,,Ionassal
Fate Kaleid Liner PRISMA ILYA 2wei!,,Ionassal
Fate-kaleid liner Prisma?Illya 2wei Herz!,,Ionassal
Fullmetal Alchemist - Brotherhood,,Ionassal
Fullmetal Alchemist - The Sacred Star of Milos,,Ionassal
Futari wa Milky Holmes,,Ionassal
Gabriel Dropout,,Ionassal
Gakkou Gurashi!,,Ionassal
Gakusen Toshi Asterisk,,Ionassal
Gekkan Shoujo Nozaki-kun,,Ionassal
Ghost in the Shell - Arise,,Ionassal
Ghost in the Shell - Stand Alone Complex,,Ionassal
Ghost in the Shell - Stand Alone Complex 2nd GIG,,Ionassal
Ghost in the Shell,,Ionassal
Ghost in the Shell 2 - Innocence,,Ionassal
Gingitsune,,Ionassal
Gintama,,Ionassal
Girls und Panzer,,Ionassal
Glasslip,,Ionassal
Gochuumon wa Usagi Desu ka,,Ionassal
Gochuumon wa Usagi Desu ka S2,,Ionassal
GOD EATER,,Ionassal
Golden Time,,Ionassal
GOLGO 13,,Ionassal
Gosick,,Ionassal
Great_Teacher_Onizuka,,Ionassal
Grisaia no Kajitsu,,Ionassal
Grisaia no Rakuen,,Ionassal
Gungrave,,Ionassal
Gurren Lagann,,Ionassal
Haitai Nanafa,,Ionassal
Hanamaru Youchien,,Ionassal
Hanayamata,,Ionassal
Hellsing Ultimate,,Ionassal
Hibike! Euphonium,,Ionassal
Hidan_no_Aria,,Ionassal
High School Fleet,,Ionassal
Higurashi no Naku Koro ni Kira,,Ionassal
Hinata no Aoshigure,,Ionassal
His and Her Circumstances,,Ionassal
Honey And Clover,,Ionassal
Honey And Clover Season 2,,Ionassal
Hotarubi no Mori e,,Ionassal
Hyakko,,Ionassal
Hyouka,,Ionassal
Ikoku Meiro no Croisee,,Ionassal
Jinrui wa Suitai Shimashita,,Ionassal
Jinsei,,Ionassal
Jojo's Bizarre Adventure,,Ionassal
Joshiraku,,Ionassal
Kanojo ga Flag wo Oraretara,,Ionassal
Kantai Collection,,Ionassal
Kill Me Baby,,Ionassal
Kimi ni Todoke,,Ionassal
Kimi_ni_Todoke_2nd_Season,,Ionassal
Kiniro Mosaic,,Ionassal
Kiniro Mosaic S2,,Ionassal
Kiss_x_Sis,,Ionassal
Kobayashi-san Chi no Maid Dragon,,Ionassal
Kokoro Connect,,Ionassal
Kotoura-san,,Ionassal
Koufuku Graffiti,,Ionassal
Kyoukai_no_Kanata,,Ionassal
Log Horizon,,Ionassal
Log Horizon 2,,Ionassal
Love Hina,,Ionassal
Love Lab,,Ionassal
Madlax,,Ionassal
Magic Knight Rayearth,,Ionassal
Magikano,,Ionassal
Mahou Shoujo Madoka Magica,,Ionassal
Maken-ki!,,Ionassal
5 centimeters per second,,Ionassal
Hoshi wo ou kodomo,,Ionassal
The place promised in our early days,,Ionassal
Voices of a distant star,,Ionassal
The Garden Of Word,,Ionassal
Mangaka-san to Assistant-san to,,Ionassal
Maoyuu Maou Yuusha,,Ionassal
Maria the Virgin Witch,,Ionassal
M-Digimon Movies,,Ionassal
Midori no Hibi,,Ionassal
Mikakunin de Shinkoukei,,Ionassal
Minami-ke,,Ionassal
Mitsudomoe,,Ionassal
Mysterious Girlfriend,,Ionassal
Nagi no Asukara,,Ionassal
"Nakaimo - Kono Naka ni Hitori, Imouto ga Iru",,Ionassal
Neon Genesis Evangelion [Remastered],,Ionassal
Nerawareta Gakuen,,Ionassal
Nichijou,,Ionassal
Noir,,Ionassal
Non Non Biyori,,Ionassal
Noragami,,Ionassal
Nourin,,Ionassal
Nyanko Days,,Ionassal
One Room,,Ionassal
Onee-chan ga Kita,,Ionassal
Ookami-san,,Ionassal
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",,Ionassal
Outbreak Company,,Ionassal
Outlaw Star,,Ionassal
Papa no Iukoto wo Kikinasai!,,Ionassal
Parasyte The Maxim,,Ionassal
Photokano,,Ionassal
Plastic Memories,,Ionassal
Plastic Nee-san,,Ionassal
R.O.D. - Read Or Die The TV,,Ionassal
Read or Die OVA,,Ionassal
RIN ~Daughters of Mnemosyne~,,Ionassal
Rizelmine,,Ionassal
Robotics;Notes,,Ionassal
Rozen Maiden,,Ionassal
Rurouni Kenshin,,Ionassal
Sabagebu,,Ionassal
Saber Marionette,,Ionassal
Saekano,,Ionassal
Saint young men,,Ionassal
Sakura Trick,,Ionassal
Sakurasou no Pet na Kanojo,,Ionassal
School Rumble,,Ionassal
Seiren,,Ionassal
Seitokai no Ichizon,,Ionassal
Seitokai Yakuindomo,,Ionassal
Senran Kagura,,Ionassal
Serial Experiments Lain,,Ionassal
Servant x Service,,Ionassal
Seto No Hanayome,,Ionassal
Shakugan no Shana,,Ionassal
Shin Sekai Yori~From the New World,,Ionassal
Shirobako,,Ionassal
Silver Spoon,,Ionassal
Soredemo Machi wa Mawatteiru,,Ionassal
Space Battleship Yamato 2199,,Ionassal
Spice and Wolf,,Ionassal
Stars Chronicles,,Ionassal
Steins;Gate,,Ionassal
Strike the Blood,,Ionassal
Summer Wars,,Ionassal
Sunabouzu,,Ionassal
Sunday Without God,,Ionassal
Super Sonico,,Ionassal
Tales of Vesperia - First Strike,,Ionassal
Tales of Zestiria,,Ionassal
Tamako Market,,Ionassal
Tantei Opera Milky Holmes,,Ionassal
Teekyuu,,Ionassal
Tenkuu no Escaflowne,,Ionassal
The Big O,,Ionassal
The Devil Is a Part-Timer!,,Ionassal
The Disappearance of Nagato Yuki-chan,,Ionassal
The HENTAI Prince And The Stony Cat,,Ionassal
The Irresponsible Captain TYLOR,,Ionassal
The Legend of the Legendary Heroes,,Ionassal
The Melancholy of Haruhi Suzumiya,,Ionassal
Toradora!,,Ionassal
Trigun - Badlands Rumble,,Ionassal
Trigun [Remastered],,Ionassal
Trinity Seven,,Ionassal
UFO Princess Valkyrie,,Ionassal
Unbreakable Machine Doll,,Ionassal
Usagi Drop,,Ionassal
Valkyria Chronicles,,Ionassal
Wakako-zake,,Ionassal
Watamote,,Ionassal
Wolf Children,,Ionassal
Yahari Ore no Seishun Love Comedy wa Machigatteiru,,Ionassal
Yama no Susume,,Ionassal
Yamada-kun and the Seven Witches,,Ionassal
YuruYuri,,Ionassal
Yuushibu,,Ionassal
Yuyushiki,,Ionassal
Zan Sayonara Zetsubou sensei,,Ionassal
18if,,Kanon
Aho Girl,,Kanon
Big Order,,Kanon
Blood Blockade Battlefront,,Kanon
Brave 10,,Kanon
Centaur no Nayami,,Kanon
Chain Chronicles,,Kanon
Chaos Dragon,,Kanon
Gamers!,,Kanon
Hajimete no Gal,,Kanon
Hand Shakers,,Kanon
Hoshizora e Kakaru Hashi,,Kanon
Isekai no Seikishi Monogatari,,Kanon
Isekai Shokudou,,Kanon
Isekai wa Smartphone to Tomo ni,,Kanon
Jikan no Shihaisha,,Kanon
Knight and Magic,,Kanon
Konbini Kareshi,,Kanon
Mahou Sensou,,Kanon
Mikagura School Suite,,Kanon
Re-Creators,,Kanon
Sagrada Reset,,Kanon
Sakura Quest,,Kanon
Shingeki no Bahamut - Virgin Soul,,Kanon
Sword Art Online Ordinal Scale,,Kanon
Tenshi no 3P!,,Kanon
Tsurezure Children,,Kanon
Uchouten Kazoku,,Kanon
Under the Dog,,Kanon
Vatican Kiseki Chousakan,,Kanon
Akuma no Riddle,,Kanon
Tsukuyomi Moon Phase,,Kanon
Daitoshokan no Hitsujikai,,Kanon
Ao no Exorcist (Blue Exorcist Kyoto Saga),,Kanon
Code Breaker S1,,Kanon
Yozakura Quartet,,Kanon
Rage of Bahamut Genesis,,Kanon
Gunslinger Girl,,Kanon
Nogizaka Haruka no Himitsu ~Finale~,,Kanon
Psycho-Pass,,Kanon
Psycho-Pass S2,,Kanon
Majimoji Rurumo,,Kanon
Itsuka Tenma No Kuro Usagi,,Kanon
Chrome Shelled Regios,,Kanon
Utawarerumono,,Kanon
Ryuugajou Nanana no Maizoukin,,Kanon
Seikoku no Dragonar,,Kanon
Walkure Romanze,,Kanon
RAINBOW,,Kanon
Haruchika ~Haruta to Chika wa Seishun Suru~,,Kanon
Regalia - The Three Sacred Stars,,Kanon
Mahouka Koukou no Rettousei,,Kanon
Garo Honoo no Kokuin,,Kanon
Denpa Kyoushi,,Kanon
Divine Gate,,Kanon
Kuusen Madoushi Kouhosei no Kyoukan,,Kanon
Ranpo Kitan,,Kanon
Rewrite,,Kanon
Shoujo-tachi wa Kouya wo Mezasu,,Kanon
Soushin Shoujo Matoi,,Kanon
Taboo Tattoo,,Kanon
Utawarerumono - Itsuwari no Kamen,,Kanon
Youjo Senki,,Kanon
Active Raid,,Kanon
Bungou Stray Dogs,,Kanon
Dragon Crisis!,,Kanon
Ichiban Ushiro No Daimaou,,Kanon
R-15,,Kanon
RDG - Red Data Girl,,Kanon
Shining Hearts - Shiawase no Pan,,Kanon
Yozakura Quartet - Hoshi no Umi,,Kanon
Triage X,,Kanon
Nogizaka Haruka no Himitsu ~Purezza~,,Kanon
Ao no Exorcist S1,,Kanon
ISUCA,,Kanon
Valkyrie Drive Mermaid,,Kanon
Inu to Hasami wa Tsukaiyou,,Kanon
Masou Gakuen HxH,,Kanon
3D Kanojo Real Girl,,Kanon
Ajin,,Kanon
Aldnoah Zero,,Kanon
Berserk - The Golden Age Arc,,Kanon
Berserk(1997),,Kanon
Berserk(2016),,Kanon
Buddy Complex,,Kanon
Chaos;Child,,Kanon
Darling in the FranXX,,Kanon
Full Metal Panic!,,Kanon
Gakuen Babysitters,,Kanon
Hyakuren no Haou to Seiyaku no Valkyria,,Kanon
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,,Kanon
Island,,Kanon
Koi wa Ameagari no You ni,,Kanon
Mahoutsukai no Yome,,Kanon
Momokuri,,Kanon
Ninja Slayer,,Kanon
Oniichan no Koto Nanka Zenzen Suki Janain Dakara ne,,Kanon
Osake wa Fuufu ni Natte Kara,,Kanon
Project Itoh Genocidal Organ,,Kanon
Ryuuou no Oshigoto,,Kanon
Shichisei no Subaru,,Kanon
Steins Gate 0,,Kanon
Sword Art Online Alternative - Gun Gale Online,,Kanon
Tiger & Bunny,,Kanon
Toji no Miko,,Kanon
Violet Evergarden,,Kanon
Castlevania,,Kanon
Black Bullet,,Kanon
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,,Kanon
Chihayafuru,,Kanon
Dantalian no Shoka,,Kanon
Death March kara Hajimaru Isekai Kyousoukyoku,,Kanon
Gin no Guardian,,Kanon
Godzilla - Kaijuu Wakusei,,Kanon
High School DxD Hero,,Kanon
Himouto! Umaru-chan R,,Kanon
Imouto sae Ireba Ii,,Kanon
Inuyashiki,,Kanon
Itsudatte Bokura no Koi wa 10 cm Datta,,Kanon
Kimi no Na wa,,Kanon
Kino no Tabi (2017),,Kanon
Net-juu no Susume,,Kanon
Shoukoku no Altair,,Kanon
Tada-kun wa Koi wo Shinai,,Kanon
Tamayura COMPLETE batch,,Kanon
UQ Holder!,,Kanon
Wotaku ni Koi wa Muzukashii,,Kanon
Youkai Apartment no Yuuga na Nichijou,,Kanon
